target_id,source_id,pb-mtl_rmse,predicted_rmse,spearman,meta_rmse,pb0_rmse,pgmtl_improvement
nhdhr_120020250,nhdhr120020343,1.757208063,1.361185428,0.5352897182,0.5267046894,2.345640302,0.588432239
nhdhr_91595863,nhdhr34129366,2.160036663,2.315962194,0.7179814202,1.087011022,2.754340353,0.5943036897
nhdhr_120018493,nhdhr152335372,3.77902096,2.253171776,0.8109037947,0.9101484854,4.375038969,0.5960180085
nhdhr_81643237,nhdhr34129366,1.993462999,1.858395113,0.2403676586,0.9628916175,2.591213514,0.5977505144
nhdhr_120018135,nhdhr120020343,1.925795443,1.465218384,0.3917139033,0.476283541,2.525072771,0.599277328
nhdhr_70333891,nhdhr143249192,2.341992064,2.013522904,0.8008974965,1.653920735,2.9539711,0.6119790353
nhdhr_86275955,nhdhr34129544,1.547171528,2.254285984,0.8382656275,1.772776188,2.161115491,0.6139439626
nhdhr_120020370,nhdhr139269431,1.952877223,2.617863216,0.9742560227,0.5842215072,2.569810634,0.6169334101
nhdhr_120018038,nhdhr47726570,1.799122747,2.3682325,0.9516965832,1.021395215,2.422660155,0.6235374081
nhdhr_120020360,nhdhr120018089,2.055349406,1.854495065,0.634293812,0.5557106329,2.680384489,0.625035083
nhdhr_120018047,nhdhr34119718,2.125304757,1.358451101,0.4829200126,0.573982869,2.753879073,0.6285743157
nhdhr_120020236,nhdhr120020343,1.438106409,1.600081345,0.5320067706,0.5950592795,2.084293079,0.64618667
nhdhr_143249294,nhdhr139269431,1.934625393,2.243308075,0.9485474728,0.9279264975,2.590570591,0.6559451972
nhdhr_120018091,nhdhr81002103,2.170139074,1.952957177,0.9245079515,0.4925906841,2.829103414,0.6589643393
nhdhr_81642745,nhdhr34119718,1.928824131,0.8473845609,0.4655959691,0.5191512435,2.598976725,0.6701525935
nhdhr_34126452,nhdhr91595845,2.199364851,2.311665633,0.8176783184,0.6014193591,2.884889407,0.6855245553
nhdhr_91597227,nhdhr34127708,2.81327967,2.522836489,0.7902220123,1.061883845,3.512381891,0.6991022213
nhdhr_91689681,nhdhr120020367,2.076391757,2.039518589,0.6742324043,0.7290291134,2.779748867,0.7033571099
nhdhr_91594493,nhdhr120020343,1.747741712,1.458682911,0.4835458983,0.4715673428,2.456219387,0.7084776749
nhdhr_26F12E6A-07D1-4DC6-8BEA-980AD41B687A,nhdhr120018140,1.946971376,2.282185772,0.725578649,1.064981795,2.659930632,0.7129592553
nhdhr_34126579,nhdhr120020343,1.778807577,1.621089332,0.5977090222,0.6628633198,2.500574091,0.7217665139
nhdhr_37648997,nhdhr86274749,2.137822854,-0.3485293531,0.04483152259,0.8930163325,2.866080377,0.7282575232
nhdhr_74926543,nhdhr81002103,2.648590728,2.607949527,0.7728507322,1.126893488,3.381093329,0.7325026008
nhdhr_120017997,nhdhr34119718,1.789100624,0.8260617262,0.2200244056,0.7536277615,2.530566277,0.7414656523
nhdhr_120020376,nhdhr75474779,1.923694899,1.817469269,0.4598488427,0.6246832227,2.690028435,0.7663335356
